FICHIER :;c:\Users\TEMP.B110-P06-2021\Desktop\Captures\01_BD.eposacq
Date :;25/02/2023
Heure :;07:25:08

DESCRIPTION :
ACQUISITION AXE 3 : Enrouleur BD
SOLLICITATION en INTERPOLATION de POSITION (PVT).
85 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Position;Position Axe;Consigne de Vitesse;
;ms;;qc;qc;rpm;
         0;       0,0;;     21376;     21376;         0;
         1;      20,0;;     21376;     21376;         0;
         2;      40,0;;     21376;     21376;         0;
         3;      60,0;;     21376;     21376;         0;
         4;      80,0;;     21376;     21376;         0;
         5;     100,0;;     21376;     21376;         0;
         6;     120,0;;     21376;     21376;         0;
         7;     140,0;;     21376;     21376;         0;
         8;     160,0;;     21383;     21376;         9;
         9;     180,0;;     21430;     21376;        26;
        10;     200,0;;     21524;     21456;        43;
        11;     220,0;;     21665;     21589;        60;
        12;     240,0;;     21851;     21769;        77;
        13;     260,0;;     22081;     22006;        89;
        14;     280,0;;     22330;     22268;        93;
        15;     300,0;;     22588;     22539;        96;
        16;     320,0;;     22855;     22818;        99;
        17;     340,0;;     23131;     23099;       103;
        18;     360,0;;     23415;     23391;       106;
        19;     380,0;;     23708;     23690;       109;
        20;     400,0;;     24008;     23996;       111;
        21;     420,0;;     24316;     24307;       114;
        22;     440,0;;     24631;     24623;       117;
        23;     460,0;;     24954;     24949;       119;
        24;     480,0;;     25283;     25280;       122;
        25;     500,0;;     25618;     25611;       124;
        26;     520,0;;     25960;     25951;       126;
        27;     540,0;;     26308;     26297;       128;
        28;     560,0;;     26661;     26649;       130;
        29;     580,0;;     27020;     27008;       132;
        30;     600,0;;     27384;     27371;       134;
        31;     620,0;;     27753;     27740;       136;
        32;     640,0;;     28128;     28111;       138;
        33;     660,0;;     28507;     28486;       140;
        34;     680,0;;     28891;     28867;       141;
        35;     700,0;;     29279;     29257;       143;
        36;     720,0;;     29672;     29649;       145;
        37;     740,0;;     30069;     30045;       146;
        38;     760,0;;     30470;     30446;       148;
        39;     780,0;;     30875;     30853;       149;
        40;     800,0;;     31284;     31266;       150;
        41;     820,0;;     31695;     31680;       151;
        42;     840,0;;     32109;     32097;       152;
        43;     860,0;;     32526;     32516;       153;
        44;     880,0;;     32946;     32938;       154;
        45;     900,0;;     33369;     33366;       155;
        46;     920,0;;     33794;     33787;       156;
        47;     940,0;;     34223;     34214;       157;
        48;     960,0;;     34654;     34652;       158;
        49;     980,0;;     35088;     35081;       159;
        50;    1000,0;;     35524;     35496;       160;
        51;    1020,0;;     35964;     35977;       161;
        52;    1040,0;;     36406;     36367;       162;
        53;    1060,0;;     36849;     36836;       163;
        54;    1080,0;;     37295;     37294;       163;
        55;    1100,0;;     37742;     37723;       164;
        56;    1120,0;;     38190;     38165;       165;
        57;    1140,0;;     38641;     38639;       165;
        58;    1160,0;;     39093;     39070;       166;
        59;    1180,0;;     39547;     39518;       167;
        60;    1200,0;;     40002;     40001;       167;
        61;    1220,0;;     40460;     40432;       168;
        62;    1240,0;;     40919;     40887;       169;
        63;    1260,0;;     41380;     41383;       169;
        64;    1280,0;;     41843;     41795;       170;
        65;    1300,0;;     42307;     42276;       170;
        66;    1320,0;;     42771;     42749;       170;
        67;    1340,0;;     43237;     43212;       171;
        68;    1360,0;;     43688;     43669;       153;
        69;    1380,0;;     44056;     44047;       117;
        70;    1400,0;;     44330;     44317;        83;
        71;    1420,0;;     44509;     44502;        49;
        72;    1440,0;;     44596;     44595;        14;
        73;    1460,0;;     44604;     44606;         0;
        74;    1480,0;;     44604;     44606;         0;
        75;    1500,0;;     44604;     44606;         0;
        76;    1520,0;;     44604;     44606;         0;
        77;    1540,0;;     44604;     44606;         0;
        78;    1560,0;;     44604;     44606;         0;
        79;    1580,0;;     44604;     44606;         0;
        80;    1600,0;;     44604;     44606;         0;
        81;    1620,0;;     44604;     44606;         0;
        82;    1640,0;;     44604;     44606;         0;
        83;    1660,0;;     44604;     44606;         0;
        84;    1680,0;;     44604;     44606;         0;

Paramètre AXE :;Enrouleur BD
PID AXE :;KP;KI;KD;KV;KA
Position :;215;270;920;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;556;rpm

