FICHIER :;c:\Users\TEMP.B110-P06-2021\Desktop\Captures\01_HD.eposacq
Date :;25/02/2023
Heure :;07:24:46

DESCRIPTION :
ACQUISITION AXE 4 : Enrouleur HD
SOLLICITATION en INTERPOLATION de POSITION (PVT).
85 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Position;Position Axe;Consigne de Vitesse;
;ms;;qc;qc;rpm;
         0;       0,0;;     44604;     44604;         0;
         1;      20,0;;     44604;     44604;         0;
         2;      40,0;;     44604;     44604;         0;
         3;      60,0;;     44604;     44604;         0;
         4;      80,0;;     44604;     44604;         0;
         5;     100,0;;     44604;     44604;         0;
         6;     120,0;;     44604;     44604;         0;
         7;     140,0;;     44604;     44604;         0;
         8;     160,0;;     44587;     44594;       -21;
         9;     180,0;;     44484;     44508;       -55;
        10;     200,0;;     44286;     44324;       -90;
        11;     220,0;;     43995;     44033;      -124;
        12;     240,0;;     43611;     43646;      -159;
        13;     260,0;;     43152;     43175;      -171;
        14;     280,0;;     42685;     42684;      -171;
        15;     300,0;;     42220;     42204;      -170;
        16;     320,0;;     41756;     41736;      -170;
        17;     340,0;;     41293;     41272;      -169;
        18;     360,0;;     40833;     40812;      -168;
        19;     380,0;;     40374;     40359;      -168;
        20;     400,0;;     39917;     39906;      -167;
        21;     420,0;;     39461;     39455;      -167;
        22;     440,0;;     39008;     39003;      -166;
        23;     460,0;;     38556;     38556;      -165;
        24;     480,0;;     38105;     38111;      -165;
        25;     500,0;;     37657;     37666;      -164;
        26;     520,0;;     37211;     37222;      -163;
        27;     540,0;;     36766;     36776;      -163;
        28;     560,0;;     36323;     36333;      -162;
        29;     580,0;;     35883;     35893;      -161;
        30;     600,0;;     35445;     35453;      -160;
        31;     620,0;;     35009;     35015;      -159;
        32;     640,0;;     34575;     34579;      -158;
        33;     660,0;;     34144;     34147;      -157;
        34;     680,0;;     33716;     33721;      -156;
        35;     700,0;;     33291;     33295;      -155;
        36;     720,0;;     32868;     32870;      -154;
        37;     740,0;;     32448;     32452;      -153;
        38;     760,0;;     32031;     32039;      -152;
        39;     780,0;;     31618;     31626;      -151;
        40;     800,0;;     31207;     31217;      -150;
        41;     820,0;;     30800;     30808;      -148;
        42;     840,0;;     30396;     30407;      -147;
        43;     860,0;;     29997;     30010;      -146;
        44;     880,0;;     29601;     29618;      -144;
        45;     900,0;;     29209;     29231;      -143;
        46;     920,0;;     28821;     28844;      -141;
        47;     940,0;;     28438;     28461;      -139;
        48;     960,0;;     28060;     28084;      -138;
        49;     980,0;;     27686;     27712;      -136;
        50;    1000,0;;     27317;     27352;      -134;
        51;    1020,0;;     26954;     26996;      -132;
        52;    1040,0;;     26596;     26647;      -130;
        53;    1060,0;;     26243;     26307;      -128;
        54;    1080,0;;     25896;     25975;      -126;
        55;    1100,0;;     25555;     25649;      -124;
        56;    1120,0;;     25220;     25328;      -121;
        57;    1140,0;;     24892;     25015;      -119;
        58;    1160,0;;     24571;     24707;      -116;
        59;    1180,0;;     24256;     24402;      -114;
        60;    1200,0;;     23950;     24100;      -111;
        61;    1220,0;;     23651;     23791;      -108;
        62;    1240,0;;     23360;     23472;      -105;
        63;    1260,0;;     23078;     23152;      -102;
        64;    1280,0;;     22804;     22832;       -99;
        65;    1300,0;;     22539;     22532;       -96;
        66;    1320,0;;     22283;     22256;       -92;
        67;    1340,0;;     22037;     22000;       -88;
        68;    1360,0;;     21809;     21772;       -75;
        69;    1380,0;;     21630;     21608;       -56;
        70;    1400,0;;     21501;     21507;       -38;
        71;    1420,0;;     21418;     21462;       -22;
        72;    1440,0;;     21380;     21452;        -6;
        73;    1460,0;;     21376;     21452;         0;
        74;    1480,0;;     21376;     21452;         0;
        75;    1500,0;;     21376;     21452;         0;
        76;    1520,0;;     21376;     21452;         0;
        77;    1540,0;;     21376;     21452;         0;
        78;    1560,0;;     21376;     21452;         0;
        79;    1580,0;;     21376;     21452;         0;
        80;    1600,0;;     21376;     21452;         0;
        81;    1620,0;;     21376;     21452;         0;
        82;    1640,0;;     21376;     21452;         0;
        83;    1660,0;;     21376;     21452;         0;
        84;    1680,0;;     21376;     21452;         0;

Paramètre AXE :;Enrouleur HD
PID AXE :;KP;KI;KD;KV;KA
Position :;215;270;920;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;556;rpm

