FICHIER :;c:\Users\TEMP.B110-P06-2021\Desktop\Captures\01_HG.eposacq
Date :;25/02/2023
Heure :;07:24:17

DESCRIPTION :
ACQUISITION AXE 2 : Enrouleur HG
SOLLICITATION en INTERPOLATION de POSITION (PVT).
85 mesures avec période de 20.0 ms


COMMENTAIRE :
HG 250 ? >> 250,600

MESURES :
Index;Temps;;Consigne de Position;Position Axe;Consigne de Vitesse;
;ms;;qc;qc;rpm;
         0;       0,0;;     44604;     44604;         0;
         1;      20,0;;     44604;     44604;         0;
         2;      40,0;;     44604;     44604;         0;
         3;      60,0;;     44604;     44604;         0;
         4;      80,0;;     44604;     44604;         0;
         5;     100,0;;     44604;     44604;         0;
         6;     120,0;;     44604;     44604;         0;
         7;     140,0;;     44604;     44604;         0;
         8;     160,0;;     44573;     44595;       -29;
         9;     180,0;;     44446;     44526;       -63;
        10;     200,0;;     44221;     44360;       -99;
        11;     220,0;;     43898;     44062;      -133;
        12;     240,0;;     43478;     43635;      -167;
        13;     260,0;;     43003;     43137;      -171;
        14;     280,0;;     42529;     42620;      -171;
        15;     300,0;;     42054;     42115;      -170;
        16;     320,0;;     41581;     41621;      -169;
        17;     340,0;;     41111;     41142;      -169;
        18;     360,0;;     40641;     40677;      -168;
        19;     380,0;;     40174;     40219;      -168;
        20;     400,0;;     39708;     39758;      -167;
        21;     420,0;;     39244;     39295;      -166;
        22;     440,0;;     38783;     38830;      -166;
        23;     460,0;;     38322;     38370;      -165;
        24;     480,0;;     37863;     37905;      -164;
        25;     500,0;;     37406;     37441;      -164;
        26;     520,0;;     36951;     36983;      -163;
        27;     540,0;;     36498;     36518;      -162;
        28;     560,0;;     36048;     36066;      -161;
        29;     580,0;;     35600;     35617;      -160;
        30;     600,0;;     35154;     35177;      -160;
        31;     620,0;;     34710;     34742;      -159;
        32;     640,0;;     34269;     34316;      -158;
        33;     660,0;;     33832;     33895;      -157;
        34;     680,0;;     33396;     33461;      -156;
        35;     700,0;;     32964;     33030;      -155;
        36;     720,0;;     32535;     32592;      -153;
        37;     740,0;;     32109;     32158;      -152;
        38;     760,0;;     31686;     31718;      -151;
        39;     780,0;;     31268;     31285;      -150;
        40;     800,0;;     30853;     30857;      -149;
        41;     820,0;;     30441;     30434;      -147;
        42;     840,0;;     30033;     30023;      -146;
        43;     860,0;;     29629;     29626;      -144;
        44;     880,0;;     29228;     29232;      -143;
        45;     900,0;;     28834;     28854;      -141;
        46;     920,0;;     28442;     28474;      -139;
        47;     940,0;;     28056;     28104;      -138;
        48;     960,0;;     27675;     27735;      -136;
        49;     980,0;;     27299;     27372;      -134;
        50;    1000,0;;     26930;     27015;      -132;
        51;    1020,0;;     26565;     26664;      -130;
        52;    1040,0;;     26206;     26330;      -128;
        53;    1060,0;;     25853;     26002;      -126;
        54;    1080,0;;     25507;     25694;      -123;
        55;    1100,0;;     25166;     25400;      -121;
        56;    1120,0;;     24832;     25112;      -119;
        57;    1140,0;;     24505;     24836;      -116;
        58;    1160,0;;     24186;     24579;      -113;
        59;    1180,0;;     23877;     24370;      -110;
        60;    1200,0;;     23573;     24219;      -107;
        61;    1220,0;;     23279;     24117;      -104;
        62;    1240,0;;     22994;     24056;      -101;
        63;    1260,0;;     22717;     23998;       -98;
        64;    1280,0;;     22450;     23909;       -94;
        65;    1300,0;;     22192;     23787;       -91;
        66;    1320,0;;     21945;     23639;       -86;
        67;    1340,0;;     21730;     23475;       -67;
        68;    1360,0;;     21569;     23312;       -48;
        69;    1380,0;;     21458;     23174;       -31;
        70;    1400,0;;     21395;     23079;       -15;
        71;    1420,0;;     21376;     23024;         0;
        72;    1440,0;;     21376;     23023;         0;
        73;    1460,0;;     21376;     23023;         0;
        74;    1480,0;;     21376;     23023;         0;
        75;    1500,0;;     21376;     23023;         0;
        76;    1520,0;;     21376;     23023;         0;
        77;    1540,0;;     21376;     23023;         0;
        78;    1560,0;;     21376;     23023;         0;
        79;    1580,0;;     21376;     23023;         0;
        80;    1600,0;;     21376;     23023;         0;
        81;    1620,0;;     21376;     23023;         0;
        82;    1640,0;;     21376;     23023;         0;
        83;    1660,0;;     21376;     23023;         0;
        84;    1680,0;;     21376;     23022;         0;

Paramètre AXE :;Enrouleur HG
PID AXE :;KP;KI;KD;KV;KA
Position :;215;270;920;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;556;rpm

