FICHIER :;c:\Users\TEMP.B110-P06-2021\Desktop\Captures\02_BG.eposacq
Date :;25/02/2023
Heure :;07:27:22

DESCRIPTION :
ACQUISITION AXE 1 : Enrouleur BG
SOLLICITATION en INTERPOLATION de POSITION (PVT).
85 mesures avec période de 25.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Position;Position Axe;Consigne de Vitesse;
;ms;;qc;qc;rpm;
         0;       0,0;;     10898;     10898;         0;
         1;      25,0;;     10898;     10898;         0;
         2;      50,0;;     10898;     10898;         0;
         3;      75,0;;     10898;     10898;         0;
         4;     100,0;;     10898;     10898;         0;
         5;     125,0;;     10898;     10898;         0;
         6;     150,0;;     10898;     10898;         0;
         7;     175,0;;     10898;     10898;         0;
         8;     200,0;;     10923;     10902;        28;
         9;     225,0;;     11095;     11020;        74;
        10;     250,0;;     11432;     11328;       122;
        11;     275,0;;     11929;     11823;       171;
        12;     300,0;;     12563;     12478;       191;
        13;     325,0;;     13214;     13158;       191;
        14;     350,0;;     13865;     13833;       191;
        15;     375,0;;     14517;     14496;       191;
        16;     400,0;;     15167;     15149;       191;
        17;     425,0;;     15818;     15800;       191;
        18;     450,0;;     16469;     16446;       191;
        19;     475,0;;     17119;     17091;       191;
        20;     500,0;;     17770;     17739;       191;
        21;     525,0;;     18421;     18389;       191;
        22;     550,0;;     19072;     19042;       191;
        23;     575,0;;     19724;     19696;       191;
        24;     600,0;;     20376;     20349;       191;
        25;     625,0;;     21027;     21001;       191;
        26;     650,0;;     21678;     21657;       191;
        27;     675,0;;     22330;     22315;       191;
        28;     700,0;;     22981;     22969;       191;
        29;     725,0;;     23632;     23616;       191;
        30;     750,0;;     24283;     24260;       191;
        31;     775,0;;     24935;     24907;       191;
        32;     800,0;;     25586;     25555;       191;
        33;     825,0;;     26238;     26210;       191;
        34;     850,0;;     26890;     26869;       191;
        35;     875,0;;     27541;     27519;       191;
        36;     900,0;;     28193;     28176;       191;
        37;     925,0;;     28844;     28830;       191;
        38;     950,0;;     29495;     29482;       191;
        39;     975,0;;     30147;     30131;       191;
        40;    1000,0;;     30798;     30778;       191;
        41;    1025,0;;     31450;     31433;       191;
        42;    1050,0;;     32102;     32068;       191;
        43;    1075,0;;     32753;     32758;       191;
        44;    1100,0;;     33405;     33360;       191;
        45;    1125,0;;     34057;     34049;       191;
        46;    1150,0;;     34709;     34691;       191;
        47;    1175,0;;     35360;     35332;       191;
        48;    1200,0;;     36012;     36026;       191;
        49;    1225,0;;     36664;     36644;       191;
        50;    1250,0;;     37316;     37274;       191;
        51;    1275,0;;     37967;     37955;       191;
        52;    1300,0;;     38619;     38621;       191;
        53;    1325,0;;     39271;     39235;       191;
        54;    1350,0;;     39923;     39893;       191;
        55;    1375,0;;     40574;     40580;       191;
        56;    1400,0;;     41226;     41211;       191;
        57;    1425,0;;     41877;     41867;       191;
        58;    1450,0;;     42529;     42518;       191;
        59;    1475,0;;     43181;     43169;       191;
        60;    1500,0;;     43832;     43819;       191;
        61;    1525,0;;     44484;     44472;       191;
        62;    1550,0;;     45136;     45124;       191;
        63;    1575,0;;     45788;     45773;       191;
        64;    1600,0;;     46440;     46427;       191;
        65;    1625,0;;     47091;     47079;       191;
        66;    1650,0;;     47743;     47729;       191;
        67;    1675,0;;     48395;     48381;       191;
        68;    1700,0;;     49047;     49032;       191;
        69;    1725,0;;     49698;     49683;       191;
        70;    1750,0;;     50348;     50335;       185;
        71;    1775,0;;     50908;     50904;       140;
        72;    1800,0;;     51304;     51310;        92;
        73;    1825,0;;     51536;     51552;        45;
        74;    1850,0;;     51606;     51625;         0;
        75;    1875,0;;     51606;     51625;         0;
        76;    1900,0;;     51606;     51625;         0;
        77;    1925,0;;     51606;     51625;         0;
        78;    1950,0;;     51606;     51625;         0;
        79;    1975,0;;     51606;     51625;         0;
        80;    2000,0;;     51606;     51625;         0;
        81;    2025,0;;     51606;     51625;         0;
        82;    2050,0;;     51606;     51625;         0;
        83;    2075,0;;     51606;     51622;         0;
        84;    2100,0;;     51606;     51616;         0;

Paramètre AXE :;Enrouleur BG
PID AXE :;KP;KI;KD;KV;KA
Position :;215;270;920;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;556;rpm

